lhs,rhs
14,65
8,65
57,65
29,65
63,65
8,14
22,59
12,59
35,59
51,53
13,53
48,53
9,53
31,53
50,54
41,54
50,54
46,100
58,100
55,100
32,100
23,88
70,88
74,88
68,88
9,54
51,54
27,54
65,72
46,72
19,72
61,72
53,72
33,72
46,72
15,72
23,75
41,50
40,93
80,93
90,93
62,93
59,93
87,93
74,93
66,93
7,93
52,93
56,93
50,93
47,93
39,93
12,57
41,57
19,81
45,81
5,81
9,34
3,34
4,34
73,95
20,95
23,95
16,95
7,95
66,95
66,95
53,95
12,22
10,76
67,76
18,76
34,76
51,76
17,28
25,28
74,87
66,87
7,87
52,87
56,87
50,87
47,87
39,87
40,70
4,70
45,70
69,70
10,70
41,70
30,70
55,70
53,78
70,78
51,78
13,78
48,78
9,78
31,78
8,95
18,95
93,95
58,95
16,73
55,73
53,70
51,70
13,70
48,70
9,70
31,70
11,27
9,27
53,66
3,87
74,87
22,87
65,87
50,96
70,96
6,96
17,96
31,52
19,52
18,52
66,71
46,65
19,65
61,65
53,65
33,65
46,65
15,65
21,91
68,91
35,91
51,91
53,91
66,74
7,74
52,74
56,74
50,74
47,74
39,74
13,54
44,54
20,73
23,73
16,73
7,73
30,89
51,89
63,89
11,89
33,34
24,34
7,34
24,53
25,53
7,53
3,53
46,76
8,76
17,76
47,76
50,54
53,71
24,71
25,71
7,71
3,71
11,30
60,98
73,98
3,98
36,77
32,77
72,77
33,77
29,77
36,77
57,71
41,71
8,55
49,55
46,55
8,43
32,36
33,36
29,36
29,66
62,66
10,14
5,16
15,16
11,16
3,60
1,57
9,57
4,40
10,40
30,40
8,18
66,95
66,95
53,95
40,80
62,80
59,80
41,57
24,33
7,33
55,96
8,96
49,96
46,96
47,66
64,66
42,66
44,66
4,43
31,43
6,43
39,43
19,46
33,46
15,46
30,51
11,51
62,86
40,86
43,74
53,74
4,74
31,74
6,74
63,74
39,74
58,74
34,40
9,40
3,40
37,40
4,40
34,45
33,45
24,45
7,45
40,45
4,45
10,45
41,45
30,45
50,52
31,52
36,52
27,50
11,50
9,50
1,91
57,91
9,91
7,66
52,66
56,66
50,66
47,66
39,66
28,46
20,85
77,85
36,85
44,85
34,100
40,100
9,100
3,100
37,100
52,100
89,100
4,100
71,100
24,49
25,49
45,49
11,49
32,46
27,53
50,53
11,53
9,53
5,19
31,67
7,38
28,38
7,24
10,67
18,67
34,67
51,67
43,53
4,53
31,53
6,53
39,53
68,90
39,90
1,100
57,100
91,100
9,100
3,66
53,66
65,66
3,74
22,74
65,74
4,84
8,84
60,84
40,84
57,84
70,84
72,84
74,84
11,24
21,42
13,42
22,42
20,77
36,77
44,77
76,100
10,100
67,100
18,100
87,100
89,100
34,100
87,100
51,100
26,81
56,81
49,81
66,91
47,91
64,91
42,91
44,91
70,91
39,54
24,28
19,28
75,85
78,85
84,85
23,85
12,31
7,24
3,24
34,54
12,54
19,54
43,54
1,54
16,20
7,20
19,31
18,31
26,82
81,82
56,82
49,82
71,86
57,86
81,86
41,86
42,60
43,75
50,75
8,75
54,75
45,75
52,70
50,70
53,70
31,70
66,70
61,70
36,70
59,70
40,90
80,90
62,90
59,90
53,95
71,95
24,95
25,95
7,95
82,95
3,95
39,68
7,72
38,72
28,72
59,72
24,25
11,25
54,57
9,57
51,57
27,57
24,25
7,25
3,25
26,56
49,56
28,46
13,51
48,51
9,51
31,51
37,98
37,67
28,67
65,67
56,67
42,47
44,47
30,51
46,54
46,54
28,54
20,23
16,23
7,23
57,92
37,92
57,92
79,92
75,90
85,90
78,90
84,90
23,90
3,9
4,9
3,89
33,89
13,21
10,18
49,54
24,54
25,54
45,54
49,54
11,54
70,79
40,79
4,79
45,79
69,79
10,79
41,79
30,79
55,79
71,77
66,77
31,50
36,50
9,84
40,62
34,46
33,46
45,46
24,46
7,46
60,90
22,90
41,90
82,90
31,73
12,73
30,63
51,63
11,63
7,58
19,58
40,69
4,69
45,69
10,69
41,69
30,69
55,69
21,68
35,68
51,68
53,68
53,66
7,28
7,64
58,64
19,64
75,78
23,78
4,31
6,31
29,41
60,98
73,98
3,98
17,92
8,49
46,49
65,66
14,66
8,66
57,66
29,66
63,66
23,70
68,70
37,57
54,92
50,92
41,92
50,92
64,92
4,6
49,64
24,64
25,64
54,64
45,64
49,64
11,64
43,63
53,63
4,63
31,63
6,63
39,63
58,63
8,93
18,93
58,93
22,60
41,60
28,37
28,63
51,63
24,63
54,63
19,63
21,35
5,83
14,83
42,57
21,57
13,57
22,57
8,46
4,10
4,89
84,89
8,89
60,89
40,89
57,89
70,89
72,89
74,89
34,37
4,37
73,92
16,92
55,92
4,9
4,39
31,39
6,39
14,32
31,89
52,89
76,87
10,87
67,87
18,87
34,87
51,87
20,36
24,45
25,45
11,45
40,62
59,62
30,56
51,56
7,52
50,52
47,52
39,52
32,33
14,33
29,41
71,72
17,72
34,54
12,54
19,54
43,54
1,54
22,35
12,35
4,8
42,69
21,69
13,69
57,69
22,69
67,69
5,15
11,15
8,58
18,58
4,78
9,78
52,78
9,67
66,67
20,44
36,44
28,74
63,74
51,74
24,74
54,74
19,74
76,89
10,89
67,89
18,89
87,89
34,89
87,89
51,89
52,53
50,53
31,53
36,53
29,32
10,34
18,34
21,94
54,94
54,94
8,46
17,46
60,73
3,73
43,50
8,50
45,50
2,55
3,7
29,31
9,51
27,51
4,34
11,83
44,83
24,49
25,49
45,49
11,49
54,86
61,86
39,86
41,91
41,91
29,91
63,93
43,93
47,64
42,64
44,64
20,35
17,71
16,77
42,77
54,61
39,61
30,95
51,95
56,95
86,95
77,95
24,25
7,16
78,96
60,96
20,63
35,63
47,63
63,98
60,61
42,61
14,49
10,49
21,22
13,22
43,63
4,52
9,52
51,64
51,64
54,87
54,87
34,87
12,87
19,87
43,87
56,87
79,87
1,87
4,88
52,88
75,88
32,39
33,39
14,39
22,41
51,68
51,68
64,68
7,59
38,59
28,59
21,54
28,51
24,51
19,51
12,34
19,34
1,34
11,44
20,97
85,97
77,97
36,97
44,97
4,60
8,60
40,60
57,60
11,86
83,86
44,86
76,82
46,82
8,82
17,82
47,82
25,28
24,28
3,53
1,12
41,50
20,74
35,74
63,74
47,74
9,66
34,37
9,37
3,37
4,37
10,51
93,100
63,100
43,100
51,71
51,71
64,71
68,71
30,86
51,86
56,86
77,86
9,11
36,53
45,53
43,58
53,58
4,58
31,58
6,58
39,58
71,96
57,96
86,96
81,96
41,96
4,91
9,91
78,91
52,91
83,91
15,19
92,95
57,95
37,95
57,95
79,95
7,19
9,13
46,61
19,61
53,61
33,61
46,61
15,61
68,90
39,90
67,92
31,92
78,92
31,85
73,85
12,85
77,93
36,93
32,93
72,93
33,93
29,93
36,93
46,53
19,53
33,53
46,53
15,53
13,48
9,48
31,48
37,57
40,41
4,41
10,41
30,41
19,45
5,45
26,93
81,93
82,93
56,93
49,93
60,78
13,90
54,90
44,90
8,17
8,13
12,19
1,19
7,56
52,56
50,56
47,56
39,56
5,14
4,40
8,40
36,72
32,72
33,72
29,72
36,72
84,95
9,95
14,57
8,57
29,57
31,52
34,43
12,43
19,43
1,43
4,57
8,57
40,57
52,66
50,66
53,66
31,66
61,66
36,66
59,66
54,64
50,64
41,64
50,64
19,33
15,33
6,50
17,50
52,61
50,61
53,61
31,61
36,61
59,61
9,27
55,61
34,52
40,52
9,52
3,52
37,52
4,52
34,89
40,89
9,89
3,89
37,89
52,89
4,89
71,89
67,78
31,78
29,86
31,86
41,86
43,54
50,54
8,54
45,54
49,57
46,47
8,47
17,47
18,19
46,58
55,58
32,58
5,100
27,100
51,100
3,89
87,89
74,89
22,89
65,89
54,80
50,80
57,79
37,79
57,79
19,46
33,46
15,46
36,45
4,30
10,30
3,65
53,65
7,50
47,50
39,50
29,41
31,41
3,22
54,56
54,56
34,56
12,56
19,56
43,56
1,56
50,70
6,70
17,70
46,55
32,55
19,24
23,74
70,74
68,74
31,36
4,52
31,97
89,97
52,97
1,9
2,97
55,97
5,27
28,54
51,54
24,54
19,54
53,82
71,82
24,82
25,82
7,82
3,82
26,49
76,86
46,86
8,86
82,86
17,86
47,86
61,81
55,81
3,4
3,65
22,65
75,84
78,84
23,84
54,96
86,96
61,96
39,96
77,100
36,100
32,100
93,100
72,100
33,100
29,100
36,100
5,11
51,75
51,75
64,75
68,75
71,75
4,70
8,70
60,70
40,70
57,70
40,55
4,55
45,55
10,55
41,55
30,55
12,41
4,75
52,75
34,71
40,71
9,71
3,71
37,71
52,71
4,71
20,47
35,47
17,25
29,62
72,77
65,77
46,77
19,77
61,77
53,77
33,77
46,77
15,77
76,87
10,87
67,87
18,87
34,87
51,87
28,99
17,99
25,99
16,42
5,51
27,51
71,81
57,81
41,81
23,68
40,59
14,29
8,29
9,78
67,78
66,78
32,33
29,33
42,67
21,67
13,67
57,67
22,67
13,44
53,86
78,86
70,86
51,86
13,86
48,86
9,86
31,86
81,86
34,78
33,78
45,78
24,78
7,78
46,78
60,82
22,82
41,82
37,65
28,65
56,65
13,31
9,31
53,81
78,81
70,81
51,81
13,81
48,81
9,81
31,81
28,86
63,86
74,86
51,86
24,86
54,86
19,86
42,44
25,33
24,33
28,33
4,72
8,72
60,72
40,72
57,72
70,72
3,33
7,47
39,47
14,63
8,63
57,63
29,63
66,70
47,70
64,70
42,70
44,70
21,51
35,51
30,77
51,77
56,77
27,89
50,89
53,89
11,89
9,89
32,58
33,58
14,58
39,58
11,91
83,91
44,91
86,91
57,87
49,87
6,17
16,55
21,53
35,53
51,53
37,56
28,56
4,74
8,74
60,74
40,74
57,74
70,74
72,74
54,79
54,79
34,79
12,79
19,79
43,79
56,79
1,79
71,100
57,100
86,100
96,100
81,100
41,100
4,83
9,83
78,83
52,83
10,51
18,51
34,51
16,31
5,31
15,31
11,31
7,39
52,59
50,59
53,59
31,59
36,59
21,54
10,61
51,61
32,36
33,36
29,36
43,45
8,45
